# Wordlist

# DATA
ID	DOCULECT	IPA	TOKENS	ENGLISH	FRENCH	CONCEPT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SCAID	LEXSTATID
#
1	Bambara	dúnáⁿ	d u ⁵ n ã ⁵ ∼	guest	étranger, hôte	!GUEST OR STRANGER	1 7 8 4 7 8 4	AXTBYTN	TY6NA69	1	1.T.C 1.Y.V 1.6.T 1.N.C 1.A.V 1.6.T 1.9.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0	1	1
2	Bangime	yīī tūwⁿɔ̀	j iː ³³ _ t u ³ w̃ ∼ ɔ ¹	visitor, guest	étranger, invité	!GUEST OR STRANGER	6 7 8 9 1 7 8 6 4 7 8	AXT_AXTMBYT	JI4_TY6W9U6	2	2.J.C 2.I.V 2.4.T 2._._ 2.T.C 2.Y.V 2.6.T 2.W.c 2.9.C 2.U.V 2.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	2	2
3	Bankan_Tey	ǹdòsú-m	n ¹ d o ¹ s u ⁵ + m	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	4 8 1 7 8 3 7 8 9 4	ATBYTBYT_A	N6TU6SY6_M	3	3.N.C 3.6.T 3.T.C 3.U.V 3.6.T 3.S.C 3.Y.V 3.6.T 3._._ 3.M.C	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0	3	3
4	Ben_Tey	lò:sú-m	l oː ¹ s u ⁵ + m	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_M	4	4.L.C 4.U.V 4.6.T 4.S.C 4.Y.V 4.6.T 4._._ 4.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0	4	3
5	Bunoge	dó:njì	d oː ⁵ n dʒ i ¹	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	1 7 8 4 1 7 8	AXTMBYT	TU6NTI6	5	5.T.C 5.U.V 5.6.T 5.N.c 5.T.C 5.I.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	1	4
7	Fulfulde	koɗɗo	k o ɗ ɗ o	visitor, guest	étranger, invité	!GUEST OR STRANGER	1 7 1 1 7	AXMBZ	KUTTU	6	6.K.C 6.U.V 6.T.c 6.T.C 6.U.V	2.0 1.5 1.1 1.75 0.8	0	6	5
9	Jamsay	yérí-n	j e ⁵ r i ⁵ + n	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	7	7.J.C 7.E.V 7.6.T 7.R.C 7.I.V 7.6.T 7._._ 7.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0	7	6
10	Jenaama	súmū	s u ⁵ m u ³	visitor, guest	étranger, invité	!GUEST OR STRANGER	3 7 8 4 7 8	AXTBYT	SY6MY6	8	8.S.C 8.Y.V 8.6.T 8.M.C 8.Y.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	8	7
11	Mombo	gìlà gílí	ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KI6LA6_KI6LI6	9	9.K.C 9.I.V 9.6.T 9.L.C 9.A.V 9.6.T 9._._ 9.K.C 9.I.V 9.6.T 9.L.C 9.I.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	9	8
