# Wordlist

# DATA
ID	DOCULECT	IPA	TOKENS	ENGLISH	FRENCH	CONCEPT
#
27	Bangime	ɡwìì	ɡ w iː ¹	age, long life	âge, longévité	AGE
28	Bankan_Tey	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
29	Ben_Tey	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
30	Bunoge	kɛ̀mnɔ̀ kánì	k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
32	Fulfulde	naywu-de	n a j w u + d e	age, long life	âge, longévité	AGE
34	Jamsay	pɛ́:ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
35	Mombo	ká:nú kánì	k aː ⁵ n u ⁵ _ k a ⁵ n i ¹	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
36	Najamba	kúnjɛ́	k u ⁵ n dʒ ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
37	Nanga	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
38	Penange	ká:mnɔ́ kán	k aː ⁵ m n ɔ ⁵ _ k a ⁵ n	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
39	Perge_Tegu	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
40	Songhai_Kiini	zé:n	z eː ⁵ n	(living thing) become old, elderly	(être vivant) devenir vieux, âgé	AGE
41	Songhai_Senni	zé:n	z eː ⁵ n	(living thing) become old, elderly	(être vivant) devenir vieux, âgé	AGE
42	Tebul_Ure	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
43	Tiranige_Diga	kúnjó	k u ⁵ n dʒ o ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
44	Togo_Kan	pɛ́:ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
45	Tommo_So	pɛ́ɛ́ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
46	Toro_Tegu	yɔ̌w	j ɔ ¹⁵ w	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
